

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Centroid Position A1 [µm],ROI 1 Centroid Position A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,5:26:06 PM,3311.46,3476.97,4872.50,5321.36,0.01,0.02,0.03,0.02,
5/31/2018,5:26:07 PM,3401.11,3581.79,4876.38,5289.14,0.01,0.02,0.01,0.02,
5/31/2018,5:26:09 PM,3224.15,3556.52,4870.61,5272.32,0.01,0.02,0.01,0.02,
5/31/2018,5:26:10 PM,3364.94,3436.88,4852.51,5318.92,0.01,0.02,0.04,0.01,
5/31/2018,5:26:11 PM,3347.29,3557.52,4842.70,5341.41,0.01,0.02,0.01,0.02,
5/31/2018,5:26:12 PM,3345.08,3564.51,4855.31,5333.00,0.01,0.02,0.01,0.02,
5/31/2018,5:26:13 PM,3361.00,3560.80,4870.80,5330.40,0.01,0.02,0.01,0.02,
5/31/2018,5:26:14 PM,3307.67,3596.22,4853.64,5321.21,0.02,0.02,0.02,0.03,
5/31/2018,5:26:15 PM,3330.78,3565.29,4849.22,5339.84,0.01,0.03,0.01,0.02,
5/31/2018,5:26:16 PM,3246.52,3586.16,4863.51,5331.67,0.01,0.02,0.01,0.03,
5/31/2018,5:26:17 PM,3231.83,3485.76,4862.48,5334.58,0.01,0.02,0.02,0.02,
5/31/2018,5:26:19 PM,3376.76,3511.53,4873.17,5323.53,0.01,0.03,0.02,0.02,
5/31/2018,5:26:20 PM,3294.46,3535.56,4887.58,5319.50,0.01,0.03,0.02,0.02,
5/31/2018,5:26:21 PM,3417.68,3482.36,4873.97,5331.46,0.01,0.02,0.02,0.02,
5/31/2018,5:26:22 PM,3310.17,3467.10,4893.12,5318.57,0.01,0.02,0.02,0.02,
5/31/2018,5:26:23 PM,3261.72,3511.30,4873.53,5323.62,0.01,0.02,0.01,0.02,
5/31/2018,5:26:24 PM,3303.67,3445.22,4876.97,5356.15,0.01,0.03,0.02,0.02,
5/31/2018,5:26:25 PM,3360.45,3543.63,4870.81,5347.19,0.01,0.03,0.01,0.02,
5/31/2018,5:26:26 PM,3266.01,3497.00,4868.47,5346.79,0.01,0.02,0.02,0.02,
5/31/2018,5:26:27 PM,3224.12,3505.73,4866.56,5337.37,0.01,0.03,0.02,0.02,
5/31/2018,5:26:28 PM,3328.81,3476.56,4880.35,5318.07,0.01,0.03,0.03,0.02,
5/31/2018,5:26:30 PM,3215.31,3516.40,4880.27,5333.72,0.01,0.02,0.01,0.02,
5/31/2018,5:26:31 PM,3301.78,3529.98,4868.56,5313.40,0.01,0.02,0.01,0.02,
5/31/2018,5:26:32 PM,3285.85,3495.83,4868.93,5326.68,0.01,0.03,0.02,0.02,
5/31/2018,5:26:33 PM,3231.81,3473.18,4879.08,5326.76,0.01,0.03,0.02,0.02,
5/31/2018,5:26:34 PM,3231.84,3481.95,4856.63,5332.31,0.01,0.02,0.02,0.02,
5/31/2018,5:26:35 PM,3186.28,3521.58,4859.06,5331.19,0.01,0.03,0.02,0.02,
5/31/2018,5:26:36 PM,3283.29,3496.34,4861.42,5334.16,0.01,0.02,0.02,0.02,
5/31/2018,5:26:37 PM,3320.04,3442.22,4855.89,5332.84,0.01,0.02,0.02,0.02,
5/31/2018,5:26:39 PM,3313.13,3591.84,4862.95,5334.79,0.01,0.02,0.01,0.03,
5/31/2018,5:26:40 PM,3214.47,3548.93,4877.99,5327.21,0.01,0.02,0.01,0.02,
5/31/2018,5:26:41 PM,3233.67,3516.50,4878.66,5338.45,0.01,0.03,0.01,0.02,
5/31/2018,5:26:42 PM,3373.42,3534.33,4878.63,5315.33,0.01,0.03,0.02,0.02,
5/31/2018,5:26:43 PM,3198.32,3529.11,4865.68,5339.06,0.01,0.02,0.02,0.02,
5/31/2018,5:26:44 PM,3309.85,3531.10,4848.78,5332.04,0.01,0.02,0.02,0.02,
5/31/2018,5:26:45 PM,3292.57,3514.70,4862.73,5326.99,0.01,0.02,0.02,0.02,
5/31/2018,5:26:47 PM,3299.08,3593.46,4855.49,5313.51,0.01,0.03,0.01,0.03,
5/31/2018,5:26:48 PM,3317.19,3598.14,4862.15,5312.72,0.01,0.02,0.01,0.02,
5/31/2018,5:26:49 PM,3293.01,3551.65,4843.58,5317.06,0.01,0.03,0.01,0.02,
5/31/2018,5:26:50 PM,3276.69,3451.81,4867.30,5322.93,0.01,0.02,0.02,0.02,
5/31/2018,5:26:51 PM,3266.63,3523.77,4849.47,5310.56,0.01,0.02,0.02,0.02,
5/31/2018,5:26:52 PM,3344.03,3551.17,4864.06,5312.07,0.01,0.03,0.01,0.02,
5/31/2018,5:26:54 PM,3256.74,3512.80,4868.27,5315.38,0.01,0.03,0.02,0.02,
5/31/2018,5:26:55 PM,3412.57,3489.66,4874.45,5321.33,0.01,0.03,0.02,0.02,
5/31/2018,5:26:56 PM,3236.07,3475.67,4873.52,5351.44,0.01,0.03,0.02,0.02,
