

Date,Time,ROI 1 4Sigma Width A1 [µm],ROI 1 4Sigma Width A2 [µm],ROI 1 Goodness of Gaussian fit A1,ROI 1 Roughness of Gaussian fit A1,ROI 1 Goodness of Gaussian fit A2,ROI 1 Roughness of Gaussian fit A2,
5/31/2018,4:12:02 PM,3770.45,3873.89,0.04,0.04,0.06,0.04,
5/31/2018,4:12:03 PM,3350.07,3916.09,0.06,0.02,0.04,0.05,
5/31/2018,4:12:04 PM,3437.59,4266.69,0.04,0.02,0.02,0.06,
5/31/2018,4:12:05 PM,3328.25,3456.26,0.04,0.03,0.13,0.03,
5/31/2018,4:12:06 PM,3379.89,4062.60,0.08,0.02,0.04,0.05,
5/31/2018,4:12:07 PM,3370.30,3918.02,0.07,0.02,0.07,0.05,
5/31/2018,4:12:08 PM,3398.78,3906.75,0.05,0.02,0.04,0.04,
5/31/2018,4:12:09 PM,3601.52,3878.09,0.03,0.02,0.07,0.04,
5/31/2018,4:12:10 PM,3544.88,3581.94,0.04,0.02,0.11,0.03,
5/31/2018,4:12:11 PM,3967.53,3739.80,0.02,0.03,0.07,0.04,
5/31/2018,4:12:12 PM,3137.14,3710.43,0.04,0.03,0.08,0.03,
5/31/2018,4:12:13 PM,3148.70,3993.50,0.04,0.03,0.05,0.04,
5/31/2018,4:12:14 PM,3329.07,3376.85,0.06,0.02,0.13,0.02,
5/31/2018,4:12:15 PM,3432.54,3541.74,0.05,0.02,0.22,0.03,
5/31/2018,4:12:16 PM,3382.25,4000.17,0.03,0.04,0.05,0.06,
5/31/2018,4:12:17 PM,3394.99,3612.75,0.05,0.02,0.17,0.03,
5/31/2018,4:12:18 PM,3367.50,4043.85,0.07,0.02,0.04,0.05,
5/31/2018,4:12:19 PM,3766.73,3643.67,0.03,0.03,0.13,0.03,
5/31/2018,4:12:20 PM,3826.69,3862.29,0.03,0.03,0.07,0.04,
5/31/2018,4:12:21 PM,3314.98,3686.45,0.09,0.02,0.13,0.03,
5/31/2018,4:12:22 PM,3383.63,4040.10,0.07,0.03,0.04,0.05,
5/31/2018,4:12:23 PM,3602.07,3728.76,0.04,0.02,0.09,0.04,
5/31/2018,4:12:24 PM,3579.61,4129.88,0.05,0.02,0.04,0.05,
5/31/2018,4:12:25 PM,3714.17,3441.08,0.02,0.03,0.11,0.03,
5/31/2018,4:12:26 PM,3604.59,3700.54,0.03,0.02,0.09,0.03,
5/31/2018,4:12:27 PM,3319.08,3958.90,0.10,0.02,0.06,0.04,
5/31/2018,4:12:28 PM,3586.10,3943.49,0.05,0.03,0.05,0.04,
